corrida,latencia_espacios_ms,deadline_ms,status,duracion_ms
1,0,500,200,62.1
1,0,500,200,63.5
1,0,500,200,77.5
1,0,500,200,66.6
1,0,500,200,56.2
1,0,500,200,54.4
1,0,500,200,85.3
1,0,500,200,100.1
1,0,500,200,135.3
1,0,500,200,47.6
1,0,500,200,113.0
1,0,500,200,55.1
1,0,500,200,47.8
1,0,500,200,109.0
1,0,500,200,40.7
1,0,500,200,40.5
1,0,500,200,38.1
1,0,500,200,32.8
1,0,500,200,195.5
1,0,500,200,138.6
1,0,500,200,36.9
1,0,500,200,41.7
1,0,500,200,38.2
1,0,500,200,198.0
1,0,500,200,39.6
1,0,500,200,37.7
1,0,500,200,32.9
1,0,500,200,32.0
1,0,500,200,63.7
1,0,500,200,31.8
1,0,500,200,115.2
1,0,500,200,41.2
1,0,500,200,34.8
1,0,500,200,48.7
1,0,500,200,33.2
1,0,500,200,235.2
1,0,500,200,30.1
1,0,500,200,50.2
1,0,500,200,100.5
1,0,500,200,59.3
1,0,500,200,33.8
1,0,500,200,203.2
1,0,500,200,32.5
1,0,500,200,71.6
1,0,500,200,26.3
1,0,500,200,70.4
1,0,500,200,26.1
1,0,500,200,40.8
1,0,500,200,33.0
1,0,500,200,30.0
1,0,500,200,81.6
1,0,500,200,38.6
1,0,500,200,35.7
1,0,500,200,88.9
1,0,500,200,42.2
1,0,500,200,39.2
1,0,500,200,43.2
1,0,500,200,157.7
1,0,500,200,45.0
1,0,500,200,39.8
1,0,500,200,39.7
1,0,500,200,33.4
1,0,500,200,40.3
1,0,500,200,313.9
1,0,500,200,36.5
1,0,500,200,51.9
1,0,500,200,38.0
1,0,500,200,50.5
1,0,500,200,32.9
1,0,500,200,258.1
1,0,500,200,30.1
1,0,500,200,29.1
1,0,500,200,71.2
1,0,500,200,39.8
1,0,500,200,43.0
1,0,500,200,98.9
1,0,500,200,56.9
1,0,500,200,56.5
1,0,500,200,64.8
1,0,500,200,66.9
1,0,500,200,67.2
1,0,500,200,159.1
1,0,500,200,65.7
1,0,500,200,71.6
1,0,500,200,177.4
1,0,500,200,72.0
1,0,500,200,79.0
1,0,500,200,66.5
1,0,500,200,59.4
1,0,500,200,57.6
1,0,500,200,53.2
1,0,500,200,71.5
1,0,500,200,44.6
1,0,500,200,38.0
1,0,500,200,46.8
1,0,500,200,37.4
1,0,500,200,58.4
1,0,500,200,37.9
1,0,500,200,65.7
1,0,500,200,278.1
1,0,500,200,44.1
1,0,500,200,34.6
1,0,500,200,35.4
1,0,500,200,67.6
1,0,500,200,62.2
1,0,500,200,28.7
1,0,500,200,38.9
1,0,500,200,40.2
1,0,500,200,71.8
1,0,500,200,64.1
1,0,500,200,45.4
1,0,500,200,64.9
1,0,500,200,38.4
1,0,500,200,125.3
1,0,500,200,65.6
1,0,500,200,28.1
1,0,500,200,32.3
1,0,500,200,34.0
1,0,500,200,177.3
1,0,500,200,35.8
1,0,500,200,35.2
1,0,500,200,36.7
1,0,500,200,37.3
1,0,500,200,36.3
1,0,500,200,33.0
1,0,500,200,32.9
1,0,500,200,31.6
